movie_id,title,release_year,genre,budget,revenue,runtime,imdb_rating,metascore,votes,director,main_actor,oscar_nominations,oscar_wins
1,Movie 1,2018,Drama,14.95,71.21,131,8.5,89.0,32.4,James Cameron,Natalie Portman,2,0
2,Movie 2,1981,Animation,30.26,109.11,156,8.4,,174.8,Steven Spielberg,Natalie Portman,0,0
3,Movie 3,2007,Thriller,29.96,58.11,123,6.5,,187.0,Christopher Nolan,Emma Stone,3,0
4,Movie 4,1988,Action,49.47,75.98,148,6.9,63.0,481.4,Greta Gerwig,Emma Stone,1,0
5,Movie 5,2021,Horror,16.19,56.34,115,7.7,80.0,547.8,Patty Jenkins,Margot Robbie,4,1
6,Movie 6,2003,Horror,7.3,13.09,91,6.6,,176.4,Christopher Nolan,Ryan Gosling,1,1
7,Movie 7,2003,Sci-Fi,56.69,302.46,137,6.7,81.0,349.6,Martin Scorsese,Leonardo DiCaprio,4,1
8,Movie 8,2023,Horror,52.0,212.49,94,6.4,32.0,222.3,James Cameron,Chris Evans,3,1
9,Movie 9,2021,Animation,7.08,19.31,118,7.9,,111.0,Denis Villeneuve,Natalie Portman,2,1
10,Movie 10,1992,Sci-Fi,20.27,49.91,132,7.7,73.0,188.8,Alfonso Cuarón,Leonardo DiCaprio,4,2
11,Movie 11,2012,Drama,52.72,69.9,98,6.6,58.0,51.2,Steven Spielberg,Leonardo DiCaprio,2,0
12,Movie 12,2011,Sci-Fi,133.96,502.59,126,6.4,51.0,30.2,Ridley Scott,Brad Pitt,1,0
13,Movie 13,1996,Action,16.48,51.6,150,5.1,74.0,10.7,Steven Spielberg,Brad Pitt,0,0
14,Movie 14,1983,Romance,20.23,41.46,138,5.9,53.0,136.5,Martin Scorsese,Emma Stone,2,1
15,Movie 15,1985,Animation,49.93,224.25,92,6.2,60.0,177.5,Patty Jenkins,Tom Cruise,2,0
16,Movie 16,2018,Action,12.12,32.12,140,5.3,,71.8,Quentin Tarantino,Margot Robbie,1,0
17,Movie 17,1991,Thriller,60.37,222.99,104,5.7,64.0,302.8,Christopher Nolan,Natalie Portman,3,2
18,Movie 18,2014,Thriller,40.86,120.91,116,4.6,30.0,87.5,Martin Scorsese,Emma Stone,0,0
19,Movie 19,1987,Thriller,35.95,230.54,98,6.6,65.0,131.0,James Cameron,Jennifer Lawrence,1,0
20,Movie 20,1987,Thriller,72.85,352.49,188,6.6,53.0,153.0,James Cameron,Tom Cruise,1,1
21,Movie 21,2007,Comedy,4.93,13.8,128,7.0,67.0,53.4,Martin Scorsese,Jennifer Lawrence,3,3
22,Movie 22,2011,Comedy,16.41,99.25,125,5.3,55.0,37.0,James Cameron,Jennifer Lawrence,1,0
23,Movie 23,2001,Horror,7.58,14.87,94,5.3,31.0,150.6,Christopher Nolan,Ryan Gosling,1,1
24,Movie 24,2005,Horror,32.27,128.26,120,7.4,75.0,35.1,Patty Jenkins,Margot Robbie,6,2
25,Movie 25,2001,Action,10.78,26.03,109,7.1,47.0,143.8,Greta Gerwig,Natalie Portman,0,0
26,Movie 26,1987,Drama,12.89,68.85,101,7.3,,180.8,Christopher Nolan,Ryan Gosling,0,0
27,Movie 27,1995,Action,24.87,112.51,146,5.9,49.0,559.7,Patty Jenkins,Emma Stone,0,0
28,Movie 28,1980,Drama,6.09,15.89,124,7.7,68.0,67.4,Steven Spielberg,Brad Pitt,4,2
29,Movie 29,2009,Animation,36.58,208.86,96,6.8,87.0,18.7,Christopher Nolan,Ryan Gosling,2,1
30,Movie 30,1984,Comedy,18.32,87.82,199,6.6,53.0,112.7,Martin Scorsese,Chris Evans,6,3
31,Movie 31,2022,Drama,21.4,107.26,127,6.5,57.0,229.2,Patty Jenkins,Chris Evans,0,0
32,Movie 32,1983,Comedy,9.6,80.63,131,6.4,83.0,160.9,Ridley Scott,Leonardo DiCaprio,1,0
33,Movie 33,2015,Sci-Fi,77.47,170.0,133,6.3,,250.6,Denis Villeneuve,Chris Evans,3,0
34,Movie 34,2004,Action,45.32,121.09,128,6.4,78.0,24.1,Christopher Nolan,Jennifer Lawrence,3,1
35,Movie 35,2015,Animation,125.5,553.08,122,7.0,51.0,98.2,Greta Gerwig,Leonardo DiCaprio,2,0
36,Movie 36,1987,Horror,6.66,8.26,102,6.3,62.0,29.9,Steven Spielberg,Jennifer Lawrence,2,2
